context	question	answers
"Title I of the U.S. DMCA, the WIPO Copyright and Performances and Phonograms Treaties Implementation Act has provisions that prevent persons from ""circumvent[ing] a technological measure that effectively controls access to a work"". Thus if a distributor of copyrighted works has some kind of software, dongle or password access device installed in instances of the work, any attempt to bypass such a copy protection scheme may be actionable – though the US Copyright Office is currently reviewing anticircumvention rulemaking under DMCA – anticircumvention exemptions that have been in place under the DMCA include those in software designed to filter websites that are generally seen to be inefficient (child safety and public library website filtering software) and the circumvention of copy protection mechanisms that have malfunctioned, have caused the instance of the work to become inoperable or which are no longer supported by their manufacturers."	Anticircumvention exemptions are generally not seen to be what?	['<no_answer>']
"Musée Territorial de St.-Barthélemy is a historical museum known as the ""St. Barts Municipal Museum"" also called the ""Wall House"" (musée – bibliothèque) in Gustavia, which is located on the far end of La Pointe. The museum is housed in an old stone house, a two-storey building which has been refurbished. The island’s history relating to French, Swedish and British period of occupation is well presented in the museum with photographs, maps and paintings. Also on display are the ancestral costumes, antique tools, models of Creole houses and ancient fishing boats. It also houses a library."	What is the French name for the historic museum in St. Barts?	['Musée Territorial de St.-Barthélemy']
ASCII (i/ˈæski/ ASS-kee), abbreviated from American Standard Code for Information Interchange, is a character-encoding scheme (the IANA prefers the name US-ASCII). ASCII codes represent text in computers, communications equipment, and other devices that use text. Most modern character-encoding schemes are based on ASCII, though they support many additional characters. ASCII was the most common character encoding on the World Wide Web until December 2007, when it was surpassed by UTF-8, which is fully backward compatibe to ASCII.	What does ASCII stand for?	['American Standard Code for Information Interchange']
When a person is non-verbal and cannot self-report pain, observation becomes critical, and specific behaviors can be monitored as pain indicators. Behaviors such as facial grimacing and guarding indicate pain, as well as an increase or decrease in vocalizations, changes in routine behavior patterns and mental status changes. Patients experiencing pain may exhibit withdrawn social behavior and possibly experience a decreased appetite and decreased nutritional intake. A change in condition that deviates from baseline such as moaning with movement or when manipulating a body part, and limited range of motion are also potential pain indicators. In patients who possess language but are incapable of expressing themselves effectively, such as those with dementia, an increase in confusion or display of aggressive behaviors or agitation may signal that discomfort exists, and further assessment is necessary.	What can be monitored as pain indicators?	['specific behaviors']
The original charter of the Province of East Jersey had restricted membership in the Assembly to Christians; the Duke of York was fervently Catholic, and the proprietors of Perth Amboy, New Jersey were Scottish Catholic peers. The Province of West Jersey had declared, in 1681, that there should be no religious test for office. An oath had also been imposed on the militia during the French and Indian War requiring them to abjure the pretensions of the Pope, which may or may not have been applied during the Revolution. That law was replaced by 1799.	What did the original charter of the Province of East Jersey restrict membership in its Assembly to?	['Christians']
"Encompassing a wide variety of post-Romantic styles composed through the year 2000, 20th century classical music includes late romantic, modern, high-modern, and postmodern styles of composition. Modernism (1890–1930) marked an era when many composers rejected certain values of the common practice period, such as traditional tonality, melody, instrumentation, and structure. The high-modern era saw the emergence of neo-classical and serial music. A few authorities have claimed high-modernism as the beginning of postmodern music from about 1930. Others have more or less equated postmodern music with the ""contemporary music"" composed from the late 20th century through to the early 21st century."	Composers rejected the traditions of the common practice period during what era?	['Modernism']
"By the 1980s, parents of mixed-race children (and adults of mixed-race ancestry) began to organize and lobby for the ability to show more than one ethnic category on Census and other legal forms. They refused to be put into just one category. When the U.S. government proposed the addition of the category of ""bi-racial"" or ""multiracial"" in 1988, the response from the general public was mostly negative. Some African-American organizations and political leaders, such as Senator Diane Watson and Representative Augustus Hawkins, were particularly vocal in their rejection of the category. They feared a loss in political and economic power if African Americans abandoned their one category."	What politician was in favor of the multiracial category?	['<no_answer>']
"The city generally has a climate with warm days followed by cool nights and mornings. Unpredictable weather is expected, given that temperatures can drop to 1 °C (34 °F) or less during the winter. During a 2013 cold front, the winter temperatures of Kathmandu dropped to −4 °C (25 °F), and the lowest temperature was recorded on January 10, 2013, at −9.2 °C (15.4 °F). Rainfall is mostly monsoon-based (about 65% of the total concentrated during the monsoon months of June to August), and decreases substantially (100 to 200 cm (39 to 79 in)) from eastern Nepal to western Nepal. Rainfall has been recorded at about 1,400 millimetres (55.1 in) for the Kathmandu valley, and averages 1,407 millimetres (55.4 in) for the city of Kathmandu. On average humidity is 75%. The chart below is based on data from the Nepal Bureau of Standards & Meteorology, ""Weather Meteorology"" for 2005. The chart provides minimum and maximum temperatures during each month. The annual amount of precipitation was 1,124 millimetres (44.3 in) for 2005, as per monthly data included in the table above. The decade of 2000-2010 saw highly variable and unprecedented precipitation anomalies in Kathmandu. This was mostly due to the annual variation of the southwest monsoon.[citation needed] For example, 2003 was the wettest year ever in Kathmandu, totalling over 2,900 mm (114 in) of precipitation due to an exceptionally strong monsoon season. In contrast, 2001 recorded only 356 mm (14 in) of precipitation due to an extraordinarily weak monsoon season."	About what percentage of Kathmandu's annual rainfall falls during the monsoon months?	['65']
"General Electric switched to use the ASA scale in 1946. Meters manufactured since February 1946 were equipped with the ASA scale (labeled ""Exposure Index"") already. For some of the older meters with scales in ""Film Speed"" or ""Film Value"" (e.g. models DW-48, DW-49 as well as early DW-58 and GW-68 variants), replaceable hoods with ASA scales were available from the manufacturer. The company continued to publish recommended film values after that date, however, they were now aligned to the ASA scale."	When were the DW-48 and DW-49 models made?	['<no_answer>']
In 1849, Horne's began operations and soon became a leading Pittsburgh department store. In 1879, it opened a seven-story landmark which was the first department store in the city's downtown. In 1972, Associated Dry Goods acquired Horne's, and ADG expanded operations of Horne's to several stores in suburban malls throughout the Pittsburgh region as well as in Erie, Pennsylvania and Northeast Ohio. In December 1986, Horne's was acquired by a local investor group following ADG's acquisition by May Department Stores. By 1994, Federated Department Stores acquired the remaining ten Horne's stores and merged them with its Lazarus division, completely ceasing all operations of any store under the Horne's name.	In what city did Horne cease their operations?	['<no_answer>']
"Yaroslav, known as ""the Wise"", struggled for power with his brothers. A son of Vladimir the Great, he was vice-regent of Novgorod at the time of his father's death in 1015. Subsequently, his eldest surviving brother, Svyatopolk the Accursed, killed three of his other brothers and seized power in Kiev. Yaroslav, with the active support of the Novgorodians and the help of Viking mercenaries, defeated Svyatopolk and became the grand prince of Kiev in 1019. Although he first established his rule over Kiev in 1019, he did not have uncontested rule of all of Kievan Rus' until 1036. Like Vladimir, Yaroslav was eager to improve relations with the rest of Europe, especially the Byzantine Empire. Yaroslav's granddaughter, Eupraxia the daughter of his son Vsevolod I, Prince of Kiev, was married to Henry III, Holy Roman Emperor. Yaroslav also arranged marriages for his sister and three daughters to the kings of Poland, France, Hungary and Norway. Yaroslav promulgated the first East Slavic law code, Russkaya Pravda; built Saint Sophia Cathedral in Kiev and Saint Sophia Cathedral in Novgorod; patronized local clergy and monasticism; and is said to have founded a school system. Yaroslav's sons developed the great Kiev Pechersk Lavra (monastery), which functioned in Kievan Rus' as an ecclesiastical academy."	What was Yaroslav nor known as?	['<no_answer>']
"Furthermore, in the case of far-right, far-left and regionalism parties in the national parliaments of much of the European Union, mainstream political parties may form an informal cordon sanitarian which applies a policy of non-cooperation towards those ""Outsider Parties"" present in the legislature which are viewed as 'anti-system' or otherwise unacceptable for government. Cordon Sanitarian, however, have been increasingly abandoned over the past two decades in multi-party democracies as the pressure to construct broad coalitions in order to win elections – along with the increased willingness of outsider parties themselves to participate in government – has led to many such parties entering electoral and government coalitions."	What kind of policy do Outsider Parties usually have towards the government?	['<no_answer>']
Most commercial paper sold in North America is cut to standard paper sizes based on customary units and is defined by the length and width of a sheet of paper.	What is defined by the length and moistness of paper?	['<no_answer>']
In the 14th century, much of the Greek peninsula was lost by the Byzantine Empire at first to the Serbs and then to the Ottomans. By the beginning of the 15th century, the Ottoman advance meant that Byzantine territory in Greece was limited mainly to its then-largest city, Thessaloniki, and the Peloponnese (Despotate of the Morea). After the fall of Constantinople to the Ottomans in 1453, the Morea was the last remnant of the Byzantine Empire to hold out against the Ottomans. However, this, too, fell to the Ottomans in 1460, completing the Ottoman conquest of mainland Greece. With the Turkish conquest, many Byzantine Greek scholars, who up until then were largely responsible for preserving Classical Greek knowledge, fled to the West, taking with them a large body of literature and thereby significantly contributing to the Renaissance.	At the start of 15th century, the biggest Byzantine city was what?	['Thessaloniki']
According to Forbes magazine, Oklahoma City-based Devon Energy Corporation, Chesapeake Energy Corporation, and SandRidge Energy Corporation are the largest private oil-related companies in the nation, and all of Oklahoma's Fortune 500 companies are energy-related. Tulsa's ONEOK and Williams Companies are the state's largest and second-largest companies respectively, also ranking as the nation's second and third-largest companies in the field of energy, according to Fortune magazine. The magazine also placed Devon Energy as the second-largest company in the mining and crude oil-producing industry in the nation, while Chesapeake Energy ranks seventh respectively in that sector and Oklahoma Gas & Electric ranks as the 25th-largest gas and electric utility company.	What industry are all of the Oklahoma-based Fortune 500 companies in?	['energy']
The Middle Ages is one of the three major periods in the most enduring scheme for analysing European history: classical civilisation, or Antiquity; the Middle Ages; and the Modern Period.	Along with Antiquity and the Middle Ages, what is the other major division of European history?	['the Modern Period']
"In his work ""On the Jews and Their Lies"" (1543), German Reformation leader Martin Luther claims that Jewish history was ""assailed by much heresy"", and that Christ the logos swept away the Jewish heresy and goes on to do so, ""as it still does daily before our eyes."" He stigmatizes Jewish Prayer as being ""blasphemous"" (sic) and a lie, and vilifies Jews in general as being spiritually ""blind"" and ""surely possessed by all devils."" Luther calls the members of the Orthodox Catholic Church ""papists"" and heretics, and has a special spiritual problem with Jewish circumcision."	Who called the popes heratics?	['<no_answer>']
Near East (French: Proche-Orient) is a geographical term that roughly encompasses Western Asia. Despite having varying definitions within different academic circles, the term was originally applied to the maximum extent of the Ottoman Empire. The term has fallen into disuse in English, and has been replaced by the term Middle East.	What has replaced the term Near East?	['Middle East']
Transduction of bacterial genes by bacteriophage appears to be a consequence of infrequent errors during intracellular assembly of virus particles, rather than a bacterial adaptation. Conjugation, in the much-studied E. coli system is determined by plasmid genes, and is an adaptation for transferring copies of the plasmid from one bacterial host to another. It is seldom that a conjugative plasmid integrates into the host bacterial chromosome, and subsequently transfers part of the host bacterial DNA to another bacterium. Plasmid-mediated transfer of host bacterial DNA also appears to be an accidental process rather than a bacterial adaptation.	What is the result of bacterial adaptation of E.coli bacteria host and plasmid of another bacteria?	['Conjugation']
The Ghoomar dance from Jodhpur Marwar and Kalbeliya dance of Jaisalmer have gained international recognition. Folk music is a large part of Rajasthani culture. Kathputli, Bhopa, Chang, Teratali, Ghindr, Kachchhighori, and Tejaji are examples of traditional Rajasthani culture. Folk songs are commonly ballads which relate heroic deeds and love stories; and religious or devotional songs known as bhajans and banis which are often accompanied by musical instruments like dholak, sitar, and sarangi are also sung.	What have folk songs from Jodhpur Marwar gained?	['<no_answer>']
The distinctive characteristic of English cathedrals is their extreme length, and their internal emphasis upon the horizontal, which may be emphasised visually as much or more than the vertical lines. Each English cathedral (with the exception of Salisbury) has an extraordinary degree of stylistic diversity, when compared with most French, German and Italian cathedrals. It is not unusual for every part of the building to have been built in a different century and in a different style, with no attempt at creating a stylistic unity. Unlike French cathedrals, English cathedrals sprawl across their sites, with double transepts projecting strongly and Lady Chapels tacked on at a later date, such as at Westminster Abbey. In the west front, the doors are not as significant as in France, the usual congregational entrance being through a side porch. The West window is very large and never a rose, which are reserved for the transept gables. The west front may have two towers like a French Cathedral, or none. There is nearly always a tower at the crossing and it may be very large and surmounted by a spire. The distinctive English east end is square, but it may take a completely different form. Both internally and externally, the stonework is often richly decorated with carvings, particularly the capitals.	What type of transepts do English cathedrals often feature?	['double transepts']
The house scene in cities such as Birmingham, Leeds, Sheffield and London were also provided with many underground Pirate Radio stations and DJs alike which helped bolster an already contagious, but otherwise ignored by the mainstream, music genre. The earliest and influential UK house and techno record labels such as Warp Records and Network Records (otherwise known as Kool Kat records) helped introduce American and later Italian dance music to Britain as well as promoting select UK dance music acts.	What was Italian Records also known as?	['<no_answer>']
In central banking, the privileged status of the central bank is that it can make as much money as it deems needed. In the United States Federal Reserve Bank, the Federal Reserve buys assets: typically, bonds issued by the Federal government. There is no limit on the bonds that it can buy and one of the tools at its disposal in a financial crisis is to take such extraordinary measures as the purchase of large amounts of assets such as commercial paper. The purpose of such operations is to ensure that adequate liquidity is available for functioning of the financial system.	What is a perk of the central bank?	['it can make as much money as it deems needed']
The oldest written records of the Finnic languages of Estonia date from the 13th century. Originates Livoniae in Chronicle of Henry of Livonia contains Estonian place names, words and fragments of sentences.	Where can records of Estonian place names be found?	['Originates Livoniae']
Based on earlier research work by Loyd Ancile Jones (1884–1954) of Kodak and inspired by the systems of Weston film speed ratings and General Electric film values, the American Standards Association (now named ANSI) defined a new method to determine and specify film speeds of black-and-white negative films in 1943. ASA Z38.2.1-1943 was revised in 1946 and 1947 before the standard grew into ASA PH2.5-1954. Originally, ASA values were frequently referred to as American standard speed numbers or ASA exposure-index numbers. (See also: Exposure Index (EI).)	What was Kodak renamed as?	['<no_answer>']
The streets in downtown Ann Arbor conform to a grid pattern, though this pattern is less common in the surrounding areas. Major roads branch out from the downtown district like spokes on a wheel to the highways surrounding the city. The city is belted by three freeways: I-94, which runs along the southern portion of the city; U.S. Highway 23 (US 23), which primarily runs along the eastern edge of Ann Arbor; and M-14, which runs along the northern edge of the city. Other nearby highways include US 12, M-17, and M-153. Several of the major surface arteries lead to the I-94/M-14 interchange in the west, US 23 in the east, and the city's southern areas. The city also has a system of bike routes and paths and includes the nearly complete Washtenaw County Border-to-Border Trail.	What is the completed bike trail called?	['<no_answer>']
"European Dutch remained the literary language until the start of the 1920s, when under pressure of Afrikaner nationalism the local ""African"" Dutch was preferred over the written, European-based standard. In 1925, section 137 of the 1909 constitution of the Union of South Africa was amended by Act 8 of 1925, stating ""the word Dutch in article 137 [...] is hereby declared to include Afrikaans"". The constitution of 1983 only listed English and Afrikaans as official languages. It is estimated that between 90% to 95% of Afrikaans vocabulary is ultimately of Dutch origin."	What South African document from 1983 doesn't list Dutch as an official language?	['constitution']
Royal assent is not sufficient to give legal effect to an Act of Tynwald. By ancient custom, an act did not come into force until it had been promulgated at an open-air sitting of Tynwald, usually held on Tynwald Hill at St John's on St John's Day (24 June), but, since the adoption of the Gregorian calendar in 1753, on 5 July (or on the following Monday if 5 July is a Saturday or Sunday). Promulgation originally consisted of the reading of the Act in English and Manx; but, after 1865 the reading of the title of the act and a summary of each section were sufficient. This was reduced in 1895 to the titles and a memorandum of the object and purport of the act, and, since 1988, only the short title and a summary of the long title have been read.	How much of the proposed act must be currently read aloud on St John's Day?	['only the short title and a summary of the long title']
"Typically, matches are staged between a protagonist (historically an audience favorite, known as a babyface, or ""the good guy"") and an antagonist (historically a villain with arrogance, a tendency to break rules, or other unlikable qualities, called a heel). In recent years, however, antiheroes have also become prominent in professional wrestling. There is also a less common role of a ""tweener"", who is neither fully face nor fully heel yet able to play either role effectively (case in point, Samoa Joe during his first run in TNA from June 2005 to November 2006)."	Who is generally the audience favorite?	['protagonist']
With a population of 518,000, Hanover is a major centre of Northern Germany and the country's thirteenth largest city. Hanover also hosts annual commercial trade fairs such as the Hanover Fair and the CeBIT. Every year Hanover hosts the Schützenfest Hannover, the world's largest marksmen's festival, and the Oktoberfest Hannover, the second largest Oktoberfest in the world (beside Oktoberfest of Blumenau). In 2000, Hanover hosted the world fair Expo 2000. The Hanover fairground, due to numerous extensions, especially for the Expo 2000, is the largest in the world. Hanover is of national importance because of its universities and medical school, its international airport and its large zoo. The city is also a major crossing point of railway lines and highways (Autobahnen), connecting European main lines in both the east-west (Berlin–Ruhr area) and north-south (Hamburg–Munich, etc.) directions.	In which year did Hanover host the Expo?	['2000']
Paraplegia, the loss of sensation and voluntary motor control after serious spinal cord damage, may be accompanied by girdle pain at the level of the spinal cord damage, visceral pain evoked by a filling bladder or bowel, or, in five to ten per cent of paraplegics, phantom body pain in areas of complete sensory loss. This phantom body pain is initially described as burning or tingling but may evolve into severe crushing or pinching pain, or the sensation of fire running down the legs or of a knife twisting in the flesh. Onset may be immediate or may not occur until years after the disabling injury. Surgical treatment rarely provides lasting relief.	The sensation of a knife twisting in the flesh is an example of what type of pain?	['phantom body']
Its services include RIBA Insight, RIBA Appointments, and RIBA Publishing. It publishes the RIBA Product Selector and RIBA Journal. In Newcastle is the NBS, the National Building Specification, which has 130 staff and deals with the building regulations and the Construction Information Service. RIBA Bookshops, which operates online and at 66 Portland Place, is also part of RIBA Enterprises.	What are three divisions of RIBA Enterprises?	['RIBA Insight, RIBA Appointments, and RIBA Publishing']
In the late 1130s, Arnold of Brescia, an Italian canon regular became one of the first theologians to attempt to reform the Roman Catholic Church. After his death, his teachings on apostolic poverty gained currency among Arnoldists, and later more widely among Waldensians and the Spiritual Franciscans, though no written word of his has survived the official condemnation. In the early 1170s, Peter Waldo founded the Waldensians. He advocated an interpretation of the Gospel that led to conflicts with the Roman Catholic Church. By 1215, the Waldensians were declared heretical and subject to persecution. Despite that, the movement continues to exist to this day in Italy, as a part of the wider Reformed tradition.	Who was one of the first to try to reform the Catholic Church?	['Arnold of Brescia']
Industrialization is the process of social and economic change whereby a human group is transformed from a pre-industrial society into an industrial one. It is a subdivision of a more general modernization process, where social change and economic development are closely related with technological innovation, particularly with the development of large-scale energy and metallurgy production. It is the extensive organization of an economy for the purpose of manufacturing. Industrialization also introduces a form of philosophical change, where people obtain a different attitude towards their perception of nature.	industrialization is a subdivision of what general process?	['technological innovation']
"As of 2010, those of (non-Hispanic white) European ancestry accounted for 57.9% of Florida's population. Out of the 57.9%, the largest groups were 12.0% German (2,212,391), 10.7% Irish (1,979,058), 8.8% English (1,629,832), 6.6% Italian (1,215,242), 2.8% Polish (511,229), and 2.7% French (504,641). White Americans of all European backgrounds are present in all areas of the state. In 1970, non-Hispanic whites were nearly 80% of Florida's population. Those of English and Irish ancestry are present in large numbers in all the urban/suburban areas across the state. Some native white Floridians, especially those who have descended from long-time Florida families, may refer to themselves as ""Florida crackers""; others see the term as a derogatory one. Like whites in most of the other Southern states, they descend mainly from English and Scots-Irish settlers, as well as some other British American settlers."	What do short term Florida families call themselves?	['<no_answer>']
"The preludes, many of which are very brief (some consisting of simple statements and developments of a single theme or figure), were described by Schumann as ""the beginnings of studies"". Inspired by J.S. Bach's The Well-Tempered Clavier, Chopin's preludes move up the circle of fifths (rather than Bach's chromatic scale sequence) to create a prelude in each major and minor tonality. The preludes were perhaps not intended to be played as a group, and may even have been used by him and later pianists as generic preludes to others of his pieces, or even to music by other composers, as Kenneth Hamilton suggests: he has noted a recording by Ferruccio Busoni of 1922, in which the Prelude Op. 28 No. 7 is followed by the Étude Op. 10 No. 5."	Who suggested that Chopin's preludes were not intended to be played as a group?	['Kenneth Hamilton']
The egalitarianism typical of human hunters and gatherers is never total, but is striking when viewed in an evolutionary context. One of humanity's two closest primate relatives, chimpanzees, are anything but egalitarian, forming themselves into hierarchies that are often dominated by an alpha male. So great is the contrast with human hunter-gatherers that it is widely argued by palaeoanthropologists that resistance to being dominated was a key factor driving the evolutionary emergence of human consciousness, language, kinship and social organization.	The formation of what was a key factor in the emergence of human consciousness?	['<no_answer>']
"The creation–evolution controversy in the United States raises the issue of whether creationistic ideas may be legitimately called science and whether evolution itself may be legitimately called science. In the debate, both sides and even courts in their decisions have frequently invoked Popper's criterion of falsifiability (see Daubert standard). In this context, passages written by Popper are frequently quoted in which he speaks about such issues himself. For example, he famously stated ""Darwinism is not a testable scientific theory, but a metaphysical research program—a possible framework for testable scientific theories."" He continued:"	Who stated that Darwinism is a testable scientific theory?	['<no_answer>']
Alternatives to pesticides are available and include methods of cultivation, use of biological pest controls (such as pheromones and microbial pesticides), genetic engineering, and methods of interfering with insect breeding. Application of composted yard waste has also been used as a way of controlling pests. These methods are becoming increasingly popular and often are safer than traditional chemical pesticides. In addition, EPA is registering reduced-risk conventional pesticides in increasing numbers.	How well do insects breed in your yard when you use a yard waste bin?	['<no_answer>']
"Tyson Research Center is a 2,000-acre (809 ha) field station located west of St. Louis on the Meramec River. Washington University obtained Tyson as surplus property from the federal government in 1963. It is used by the University as a biological field station and research/education center. In 2010 the Living Learning Center was named one of the first two buildings accredited nationwide as a ""living building"" under the Living Building Challenge, opened to serve as a biological research station and classroom for summer students."	"Besides the Living Learning Center what was the other building accredited as a ""living building""?"	['<no_answer>']
Elizabeth and Philip were married on 20 November 1947 at Westminster Abbey. They received 2500 wedding gifts from around the world. Because Britain had not yet completely recovered from the devastation of the war, Elizabeth required ration coupons to buy the material for her gown, which was designed by Norman Hartnell. In post-war Britain, it was not acceptable for the Duke of Edinburgh's German relations, including his three surviving sisters, to be invited to the wedding. The Duke of Windsor, formerly King Edward VIII, was not invited either.	How many sisters did Philip have in all?	['<no_answer>']
Its services include RIBA Insight, RIBA Appointments, and RIBA Publishing. It publishes the RIBA Product Selector and RIBA Journal. In Newcastle is the NBS, the National Building Specification, which has 130 staff and deals with the building regulations and the Construction Information Service. RIBA Bookshops, which operates online and at 66 Portland Place, is also part of RIBA Enterprises.	Where is the NBS banned?	['<no_answer>']
"At the centre of this wing is the famous balcony with the Centre Room behind its glass doors. This is a Chinese-style saloon enhanced by Queen Mary, who, working with the designer Sir Charles Allom, created a more ""binding"" Chinese theme in the late 1920s, although the lacquer doors were brought from Brighton in 1873. Running the length of the piano nobile of the east wing is the great gallery, modestly known as the Principal Corridor, which runs the length of the eastern side of the quadrangle. It has mirrored doors, and mirrored cross walls reflecting porcelain pagodas and other oriental furniture from Brighton. The Chinese Luncheon Room and Yellow Drawing Room are situated at each end of this gallery, with the Centre Room obviously placed in the centre."	What is the main theme of the Centre Room?	['Chinese']
Starting in 1910, the army began acquiring fixed-wing aircraft. In 1910, Mexico was having a civil war, peasant rebels fighting government soldiers. The army was deployed to American towns near the border to ensure safety to lives and property. In 1916, Pancho Villa, a major rebel leader, attacked Columbus, New Mexico, prompting a U.S. intervention in Mexico until 7 February 1917. They fought the rebels and the Mexican federal troops until 1918. The United States joined World War I in 1917 on the side of Britain, France, Russia, Italy and other allies. U.S. troops were sent to the Western Front and were involved in the last offensives that ended the war. With the armistice in November 1918, the army once again decreased its forces.	Who surrendered New Mexico in 1916?	['<no_answer>']
"Diarrheal disease may have a negative impact on both physical fitness and mental development. ""Early childhood malnutrition resulting from any cause reduces physical fitness and work productivity in adults,"" and diarrhea is a primary cause of childhood malnutrition. Further, evidence suggests that diarrheal disease has significant impacts on mental development and health; it has been shown that, even when controlling for helminth infection and early breastfeeding, children who had experienced severe diarrhea had significantly lower scores on a series of tests of intelligence."	What can early childhood malnutrition cause?	['reduces physical fitness and work productivity in adults']
"Hisham suffered still worse defeats in the east, where his armies attempted to subdue both Tokharistan, with its center at Balkh, and Transoxiana, with its center at Samarkand. Both areas had already been partially conquered, but remained difficult to govern. Once again, a particular difficulty concerned the question of the conversion of non-Arabs, especially the Sogdians of Transoxiana. Following the Umayyad defeat in the ""Day of Thirst"" in 724, Ashras ibn 'Abd Allah al-Sulami, governor of Khurasan, promised tax relief to those Sogdians who converted to Islam, but went back on his offer when it proved too popular and threatened to reduce tax revenues. Discontent among the Khurasani Arabs rose sharply after the losses suffered in the Battle of the Defile in 731, and in 734, al-Harith ibn Surayj led a revolt that received broad backing from Arabs and natives alike, capturing Balkh but failing to take Merv. After this defeat, al-Harith's movement seems to have been dissolved, but the problem of the rights of non-Arab Muslims would continue to plague the Umayyads."	What area was easy to govern?	['<no_answer>']
Another study on men and women's patterns of sexual arousal confirmed that men and women have different patterns of arousal, independent of their sexual orientations. The study found that women's genitals become aroused to both human and nonhuman stimuli from movies showing humans of both genders having sex (heterosexual and homosexual) and from videos showing non-human primates (bonobos) having sex. Men did not show any sexual arousal to non-human visual stimuli, their arousal patterns being in line with their specific sexual interest (women for heterosexual men and men for homosexual men).	Are the patterns related to orientation?	['independent of their sexual orientations']
The biggest Presbyterian church is the National Presbyterian Church in Mexico (Iglesia Nacional Presbiteriana de México), which has around 2,500,000 members and associates and 3000 congregations, but there are other small denominations like the Associate Reformed Presbyterian Church in Mexico which was founded in 1875 by the Associate Reformed Church in North America. The Independent Presbyterian Church and the Presbyterian Reformed Church in Mexico, the National Conservative Presbyterian Church in Mexico are existing churches in the Reformed tradition.	When was the Associate Reformed Presbyterian Church in Mexico formed?	['1875']
"Yale University, one of the oldest universities in the United States, is a cultural referent as an institution that produces some of the most elite members of society and its grounds, alumni, and students have been prominently portrayed in fiction and U.S. popular culture. For example, Owen Johnson's novel, Stover at Yale, follows the college career of Dink Stover and Frank Merriwell, the model for all later juvenile sports fiction, plays football, baseball, crew, and track at Yale while solving mysteries and righting wrongs. Yale University also is featured in F. Scott Fitzgerald's novel ""The Great Gatsby"". The narrator, Nick Carraway, wrote a series of editorials for the Yale News, and Tom Buchanan was ""one of the most powerful ends that ever played football"" for Yale."	What character in The Great Gatsby read editorials for the Yale News?	['<no_answer>']
The islands have been shaped by numerous glaciations during the Quaternary Period, the most recent being the Devensian.[citation needed] As this ended, the central Irish Sea was deglaciated and the English Channel flooded, with sea levels rising to current levels some 4,000 to 5,000 years ago, leaving the British Isles in their current form. Whether or not there was a land bridge between Great Britain and Ireland at this time is somewhat disputed, though there was certainly a single ice sheet covering the entire sea.	Multiple sheets and layers of what covered the entire sea?	['<no_answer>']
"Four boarders at his parents' apartments became Chopin's intimates: Tytus Woyciechowski, Jan Nepomucen Białobłocki, Jan Matuszyński and Julian Fontana; the latter two would become part of his Paris milieu. He was friendly with members of Warsaw's young artistic and intellectual world, including Fontana, Józef Bohdan Zaleski and Stefan Witwicki. He was also attracted to the singing student Konstancja Gładkowska. In letters to Woyciechowski, he indicated which of his works, and even which of their passages, were influenced by his fascination with her; his letter of 15 May 1830 revealed that the slow movement (Larghetto) of his Piano Concerto No. 1 (in E minor) was secretly dedicated to her – ""It should be like dreaming in beautiful springtime – by moonlight."" His final Conservatory report (July 1829) read: ""Chopin F., third-year student, exceptional talent, musical genius."""	What four boys from his family's boarding house became friends with Chopin?	['Tytus Woyciechowski, Jan Nepomucen Białobłocki, Jan Matuszyński and Julian Fontana']
Domesticated birds raised for meat and eggs, called poultry, are the largest source of animal protein eaten by humans; in 2003, 76 million tons of poultry and 61 million tons of eggs were produced worldwide. Chickens account for much of human poultry consumption, though domesticated turkeys, ducks, and geese are also relatively common. Many species of birds are also hunted for meat. Bird hunting is primarily a recreational activity except in extremely undeveloped areas. The most important birds hunted in North and South America are waterfowl; other widely hunted birds include pheasants, wild turkeys, quail, doves, partridge, grouse, snipe, and woodcock. Muttonbirding is also popular in Australia and New Zealand. Though some hunting, such as that of muttonbirds, may be sustainable, hunting has led to the extinction or endangerment of dozens of species.	What is primarily a recreational activity except in extremely underdeveloped areas?	['Bird hunting']
In September 2014, Professor Stefan Grimm, of the Department of Medicine, was found dead after being threatened with dismissal for failure to raise enough grant money. The College made its first public announcement of his death on 4 December 2014. Grimm's last email accused his employers of bullying by demanding that he should get grants worth at least £200,000 per year. His last email was viewed more than 100,000 times in the first four days after it was posted. The College has announced an internal inquiry into Stefan Grimm's death. The inquest on his death has not yet reported.	To which department did the professor who passed in September 2014 belong?	['Department of Medicine']
These territories are sometimes referred to as the Països Catalans (Catalan Countries), a denomination based on cultural affinity and common heritage, that has also had a subsequent political interpretation but no official status. Various interpretations of the term may include some or all of these regions.	What is the interpretation of the term?	['Various interpretations']
Over 90 weeklies, fortnightlies and quarterlies are published in Sanskrit. Sudharma, a daily newspaper in Sanskrit, has been published out of Mysore, India, since 1970, while Sanskrit Vartman Patram and Vishwasya Vrittantam started in Gujarat during the last five years. Since 1974, there has been a short daily news broadcast on state-run All India Radio. These broadcasts are also made available on the internet on AIR's website. Sanskrit news is broadcast on TV and on the internet through the DD National channel at 6:55 AM IST.	In what year was the daily newspaper Sudharma first published?	['1970']
